experiment,sequence,family,raw_fill_pct,placed_boxes,terminated,terminated_step,finished_by_user
union_fallback_first_1450,edge_geometry_000,edge_geometry,71.2999298,96,True,96,False
union_fallback_first_1450,edge_geometry_001,edge_geometry,50.312987933333325,66,True,66,False
union_fallback_first_1450,edge_geometry_002,edge_geometry,58.180786066666684,75,True,75,False
union_fallback_first_1450,edge_geometry_003,edge_geometry,56.77737100000002,69,True,69,False
union_fallback_first_1450,edge_geometry_004,edge_geometry,57.55607440000002,67,True,67,False
union_fallback_first_1450,edge_geometry_005,edge_geometry,60.07083813333333,80,True,80,False
union_fallback_first_1450,edge_geometry_006,edge_geometry,63.93864233333332,85,True,85,False
union_fallback_first_1450,edge_geometry_007,edge_geometry,64.52901659999998,81,True,81,False
union_fallback_first_1450,edge_geometry_008,edge_geometry,69.35546466666665,87,True,87,False
union_fallback_first_1450,edge_geometry_009,edge_geometry,68.27421773333334,85,True,85,False
union_fallback_first_1450,large_heavy_000,large_heavy,65.33203186666667,50,True,50,False
union_fallback_first_1450,large_heavy_001,large_heavy,66.45581733333333,51,True,51,False
union_fallback_first_1450,large_heavy_002,large_heavy,53.37359546666667,41,True,41,False
union_fallback_first_1450,large_heavy_003,large_heavy,73.45586226666667,57,True,57,False
union_fallback_first_1450,large_heavy_004,large_heavy,71.30757073333335,54,True,54,False
union_fallback_first_1450,large_heavy_005,large_heavy,73.12199140000001,57,True,57,False
union_fallback_first_1450,small_dense_000,small_dense,56.411636533333365,130,False,,True
union_fallback_first_1450,small_dense_001,small_dense,54.856386866666675,130,False,,True
union_fallback_first_1450,small_dense_002,small_dense,54.14214953333334,130,False,,True
union_fallback_first_1450,small_dense_003,small_dense,56.07141013333333,130,False,,True
union_fallback_first_1450,small_dense_004,small_dense,56.49919193333329,130,False,,True
union_fallback_first_1450,small_dense_005,small_dense,54.06237533333333,130,False,,True
union_fallback_first_1450,switch_5sku_000,switch_5sku,68.54314866666665,79,True,79,False
union_fallback_first_1450,switch_5sku_001,switch_5sku,43.71448306666667,54,True,54,False
union_fallback_first_1450,switch_5sku_002,switch_5sku,63.23051346666666,72,True,72,False
union_fallback_first_1450,switch_5sku_003,switch_5sku,67.222976,77,True,77,False
union_fallback_first_1450,switch_5sku_004,switch_5sku,61.01115546666667,73,True,73,False
union_fallback_first_1450,switch_5sku_005,switch_5sku,69.63549613333332,81,True,81,False
union_fallback_first_best,continuous_iid_000,continuous_iid,59.429050399999994,75,True,75,False
union_fallback_first_best,continuous_iid_001,continuous_iid,61.69940233333336,84,True,84,False
union_fallback_first_best,continuous_iid_002,continuous_iid,63.9118664,81,True,81,False
union_fallback_first_best,continuous_iid_003,continuous_iid,65.93874966666667,81,True,81,False
union_fallback_first_best,continuous_iid_004,continuous_iid,68.34881553333334,93,True,93,False
union_fallback_first_best,continuous_iid_005,continuous_iid,69.53595560000001,88,True,88,False
union_fallback_first_best,continuous_iid_006,continuous_iid,71.33124613333337,88,True,88,False
union_fallback_first_best,continuous_iid_007,continuous_iid,62.63291246666663,78,True,78,False
union_fallback_first_best,continuous_iid_008,continuous_iid,67.091495,85,True,85,False
union_fallback_first_best,continuous_iid_009,continuous_iid,64.15129119999999,85,True,85,False
union_fallback_first_best,continuous_iid_010,continuous_iid,64.10263533333331,80,True,80,False
union_fallback_first_best,continuous_iid_011,continuous_iid,55.530107466666685,72,True,72,False
union_fallback_first_best,continuous_iid_012,continuous_iid,69.31566786666666,93,True,93,False
union_fallback_first_best,continuous_iid_013,continuous_iid,66.62793846666668,86,True,86,False
union_fallback_first_best,continuous_iid_014,continuous_iid,67.5089281333333,85,True,85,False
union_fallback_first_best,continuous_iid_015,continuous_iid,62.654981666666636,79,True,79,False
union_fallback_first_best,continuous_iid_016,continuous_iid,64.20739199999998,80,True,80,False
union_fallback_first_best,continuous_iid_017,continuous_iid,70.61666,92,True,92,False
union_fallback_first_best,continuous_iid_018,continuous_iid,67.89618446666665,87,True,87,False
union_fallback_first_best,continuous_iid_019,continuous_iid,68.80504426666668,85,True,85,False
union_fallback_first_best,continuous_iid_020,continuous_iid,68.58520726666664,85,True,85,False
union_fallback_first_best,continuous_iid_021,continuous_iid,63.45340726666666,84,True,84,False
union_fallback_first_best,continuous_iid_022,continuous_iid,61.54661733333333,80,True,80,False
union_fallback_first_best,continuous_iid_023,continuous_iid,56.582738199999994,72,True,72,False
union_fallback_first_best,continuous_iid_024,continuous_iid,56.0033674,74,True,74,False
union_fallback_first_best,continuous_iid_025,continuous_iid,67.93736386666667,89,True,89,False
union_fallback_first_best,continuous_iid_026,continuous_iid,68.36893306666667,91,True,91,False
union_fallback_first_best,continuous_iid_027,continuous_iid,66.49282913333336,86,True,86,False
union_fallback_first_best,continuous_iid_028,continuous_iid,67.37122766666667,83,True,83,False
union_fallback_first_best,continuous_iid_029,continuous_iid,63.73824373333334,85,True,85,False
union_fallback_first_best,continuous_iid_030,continuous_iid,65.83007886666668,83,True,83,False
union_fallback_first_best,continuous_iid_031,continuous_iid,64.66458086666668,79,True,79,False
union_fallback_first_best,continuous_iid_032,continuous_iid,61.610172266666645,81,True,81,False
union_fallback_first_best,continuous_iid_033,continuous_iid,52.653426933333314,71,True,71,False
union_fallback_first_best,continuous_iid_034,continuous_iid,72.328959,92,True,92,False
union_fallback_first_best,continuous_iid_035,continuous_iid,63.382158000000004,77,True,77,False
union_fallback_first_best,continuous_iid_036,continuous_iid,67.66521873333333,85,True,85,False
union_fallback_first_best,continuous_iid_037,continuous_iid,69.78086240000002,89,True,89,False
union_fallback_first_best,continuous_iid_038,continuous_iid,62.93693046666669,83,True,83,False
union_fallback_first_best,continuous_iid_039,continuous_iid,73.25763600000002,87,True,87,False
union_fallback_first_best,continuous_iid_040,continuous_iid,66.57833973333331,88,True,88,False
union_fallback_first_best,continuous_iid_041,continuous_iid,65.85780106666665,82,True,82,False
union_fallback_first_best,continuous_iid_042,continuous_iid,64.20465459999998,81,True,81,False
union_fallback_first_best,continuous_iid_043,continuous_iid,63.044643,84,True,84,False
union_fallback_first_best,continuous_iid_044,continuous_iid,62.49921940000002,83,True,83,False
union_fallback_first_best,continuous_iid_045,continuous_iid,64.03788393333335,74,True,74,False
union_fallback_first_best,continuous_iid_046,continuous_iid,66.66832040000001,84,True,84,False
union_fallback_first_best,continuous_iid_047,continuous_iid,68.6264286,89,True,89,False
union_fallback_first_best,continuous_iid_048,continuous_iid,62.94145253333335,78,True,78,False
union_fallback_first_best,continuous_iid_049,continuous_iid,70.94284386666664,92,True,92,False
union_fallback_first_best,edge_geometry_000,edge_geometry,64.95233533333332,87,True,87,False
union_fallback_first_best,edge_geometry_001,edge_geometry,50.312987933333325,66,True,66,False
union_fallback_first_best,edge_geometry_002,edge_geometry,63.934823266666676,80,True,80,False
union_fallback_first_best,edge_geometry_003,edge_geometry,55.09237300000001,68,True,68,False
union_fallback_first_best,edge_geometry_004,edge_geometry,69.4045114666667,82,True,82,False
union_fallback_first_best,edge_geometry_005,edge_geometry,67.7897804,93,True,93,False
union_fallback_first_best,edge_geometry_006,edge_geometry,63.93864233333332,85,True,85,False
union_fallback_first_best,edge_geometry_007,edge_geometry,68.52363886666664,86,True,86,False
union_fallback_first_best,edge_geometry_008,edge_geometry,52.546017733333315,68,True,68,False
union_fallback_first_best,edge_geometry_009,edge_geometry,66.37964480000001,83,True,83,False
union_fallback_first_best,large_heavy_000,large_heavy,55.043352466666676,42,True,42,False
union_fallback_first_best,large_heavy_001,large_heavy,67.82911233333333,52,True,52,False
union_fallback_first_best,large_heavy_002,large_heavy,75.45103799999998,58,True,58,False
union_fallback_first_best,large_heavy_003,large_heavy,77.26568786666668,60,True,60,False
union_fallback_first_best,large_heavy_004,large_heavy,65.93097973333336,50,True,50,False
union_fallback_first_best,large_heavy_005,large_heavy,73.12199140000001,57,True,57,False
union_fallback_first_best,small_dense_000,small_dense,56.411636533333365,130,False,,True
union_fallback_first_best,small_dense_001,small_dense,54.856386866666675,130,False,,True
union_fallback_first_best,small_dense_002,small_dense,54.14214953333334,130,False,,True
union_fallback_first_best,small_dense_003,small_dense,56.07141013333333,130,False,,True
union_fallback_first_best,small_dense_004,small_dense,56.49919193333329,130,False,,True
union_fallback_first_best,small_dense_005,small_dense,54.06237533333333,130,False,,True
union_fallback_first_best,switch_5sku_000,switch_5sku,69.19452186666666,80,True,80,False
union_fallback_first_best,switch_5sku_001,switch_5sku,55.92600426666669,69,True,69,False
union_fallback_first_best,switch_5sku_002,switch_5sku,67.83925533333333,76,True,76,False
union_fallback_first_best,switch_5sku_003,switch_5sku,62.5936616,74,True,74,False
union_fallback_first_best,switch_5sku_004,switch_5sku,56.24911573333333,67,True,67,False
union_fallback_first_best,switch_5sku_005,switch_5sku,64.57633813333332,75,True,75,False
union_adaptive_first_1400,continuous_iid_000,continuous_iid,70.07487533333332,88,True,88,False
union_adaptive_first_1400,continuous_iid_001,continuous_iid,70.48166493333338,96,True,96,False
union_adaptive_first_1400,continuous_iid_002,continuous_iid,66.03677420000001,84,True,84,False
union_adaptive_first_1400,continuous_iid_003,continuous_iid,63.06366733333334,78,True,78,False
union_adaptive_first_1400,continuous_iid_004,continuous_iid,69.73155673333333,95,True,95,False
union_adaptive_first_1400,continuous_iid_005,continuous_iid,61.63109873333334,77,True,77,False
union_adaptive_first_1400,continuous_iid_006,continuous_iid,67.31952620000003,83,True,83,False
union_adaptive_first_1400,continuous_iid_007,continuous_iid,72.89870799999998,91,True,91,False
union_adaptive_first_1400,continuous_iid_008,continuous_iid,62.2305936,78,True,78,False
union_adaptive_first_1400,continuous_iid_009,continuous_iid,67.1315576,89,True,89,False
union_adaptive_first_1400,continuous_iid_010,continuous_iid,66.88813233333332,83,True,83,False
union_adaptive_first_1400,continuous_iid_011,continuous_iid,73.51113866666668,93,True,93,False
union_adaptive_first_1400,continuous_iid_012,continuous_iid,75.26122499999997,101,True,101,False
union_adaptive_first_1400,continuous_iid_013,continuous_iid,69.94901073333335,91,True,91,False
union_adaptive_first_1400,continuous_iid_014,continuous_iid,58.38402886666665,74,True,74,False
union_adaptive_first_1400,continuous_iid_015,continuous_iid,68.3487237333333,85,True,85,False
union_adaptive_first_1400,continuous_iid_016,continuous_iid,69.59645386666666,86,True,86,False
union_adaptive_first_1400,continuous_iid_017,continuous_iid,63.25152080000001,82,True,82,False
union_adaptive_first_1400,continuous_iid_018,continuous_iid,71.32652613333332,92,True,92,False
union_adaptive_first_1400,continuous_iid_019,continuous_iid,68.80504426666668,85,True,85,False
union_adaptive_first_1400,continuous_iid_020,continuous_iid,74.01101033333332,92,True,92,False
union_adaptive_first_1400,continuous_iid_021,continuous_iid,65.19115219999999,86,True,86,False
union_adaptive_first_1400,continuous_iid_022,continuous_iid,61.54661733333333,80,True,80,False
union_adaptive_first_1400,continuous_iid_023,continuous_iid,64.34876653333335,83,True,83,False
union_adaptive_first_1400,continuous_iid_024,continuous_iid,70.84413653333333,94,True,94,False
union_adaptive_first_1400,continuous_iid_025,continuous_iid,55.756650666666665,72,True,72,False
union_adaptive_first_1400,continuous_iid_026,continuous_iid,69.66561506666666,93,True,93,False
union_adaptive_first_1400,continuous_iid_027,continuous_iid,70.72384540000003,92,True,92,False
union_adaptive_first_1400,continuous_iid_028,continuous_iid,69.72673446666666,86,True,86,False
union_adaptive_first_1400,continuous_iid_029,continuous_iid,62.70127406666666,83,True,83,False
union_adaptive_first_1400,continuous_iid_030,continuous_iid,65.83007886666668,83,True,83,False
union_adaptive_first_1400,continuous_iid_031,continuous_iid,66.00492686666668,80,True,80,False
union_adaptive_first_1400,continuous_iid_032,continuous_iid,69.25670726666665,91,True,91,False
union_adaptive_first_1400,continuous_iid_033,continuous_iid,67.13843306666665,90,True,90,False
union_adaptive_first_1400,continuous_iid_034,continuous_iid,68.50375046666666,86,True,86,False
union_adaptive_first_1400,continuous_iid_035,continuous_iid,68.44741933333334,83,True,83,False
union_adaptive_first_1400,continuous_iid_036,continuous_iid,61.446487999999995,77,True,77,False
union_adaptive_first_1400,continuous_iid_037,continuous_iid,71.37329100000001,91,True,91,False
union_adaptive_first_1400,continuous_iid_038,continuous_iid,73.48138513333338,95,True,95,False
union_adaptive_first_1400,continuous_iid_039,continuous_iid,74.55502300000002,89,True,89,False
union_adaptive_first_1400,continuous_iid_040,continuous_iid,65.48969719999998,86,True,86,False
union_adaptive_first_1400,continuous_iid_041,continuous_iid,65.85780106666665,82,True,82,False
union_adaptive_first_1400,continuous_iid_042,continuous_iid,72.07641499999998,92,True,92,False
union_adaptive_first_1400,continuous_iid_043,continuous_iid,60.9666942,82,True,82,False
union_adaptive_first_1400,continuous_iid_044,continuous_iid,67.59167000000001,91,True,91,False
union_adaptive_first_1400,continuous_iid_045,continuous_iid,64.03788393333335,74,True,74,False
union_adaptive_first_1400,continuous_iid_046,continuous_iid,69.052062,87,True,87,False
union_adaptive_first_1400,continuous_iid_047,continuous_iid,63.869301733333316,83,True,83,False
union_adaptive_first_1400,continuous_iid_048,continuous_iid,39.32350026666666,49,True,49,False
union_adaptive_first_1400,continuous_iid_049,continuous_iid,68.4083401333333,89,True,89,False
union_adaptive_first_1400,edge_geometry_000,edge_geometry,61.98901166666665,82,True,82,False
union_adaptive_first_1400,edge_geometry_001,edge_geometry,62.89357993333334,81,True,81,False
union_adaptive_first_1400,edge_geometry_002,edge_geometry,58.180786066666684,75,True,75,False
union_adaptive_first_1400,edge_geometry_003,edge_geometry,50.23369106666667,62,True,62,False
union_adaptive_first_1400,edge_geometry_004,edge_geometry,60.95917166666669,71,True,71,False
union_adaptive_first_1400,edge_geometry_005,edge_geometry,65.9858794,91,True,91,False
union_adaptive_first_1400,edge_geometry_006,edge_geometry,68.67185099999999,91,True,91,False
union_adaptive_first_1400,edge_geometry_007,edge_geometry,72.40960979999998,90,True,90,False
union_adaptive_first_1400,edge_geometry_008,edge_geometry,64.16120299999997,80,True,80,False
union_adaptive_first_1400,edge_geometry_009,edge_geometry,67.39105973333334,84,True,84,False
union_adaptive_first_1400,large_heavy_000,large_heavy,65.33203186666667,50,True,50,False
union_adaptive_first_1400,large_heavy_001,large_heavy,77.17318639999999,59,True,59,False
union_adaptive_first_1400,large_heavy_002,large_heavy,53.37359546666667,41,True,41,False
union_adaptive_first_1400,large_heavy_003,large_heavy,68.31373486666666,53,True,53,False
union_adaptive_first_1400,large_heavy_004,large_heavy,71.30757073333335,54,True,54,False
union_adaptive_first_1400,large_heavy_005,large_heavy,73.12199140000001,57,True,57,False
union_adaptive_first_1400,small_dense_000,small_dense,56.411636533333365,130,False,,True
union_adaptive_first_1400,small_dense_001,small_dense,54.856386866666675,130,False,,True
union_adaptive_first_1400,small_dense_002,small_dense,54.14214953333334,130,False,,True
union_adaptive_first_1400,small_dense_003,small_dense,56.07141013333333,130,False,,True
union_adaptive_first_1400,small_dense_004,small_dense,56.49919193333329,130,False,,True
union_adaptive_first_1400,small_dense_005,small_dense,54.06237533333333,130,False,,True
union_adaptive_first_1400,switch_5sku_000,switch_5sku,68.54314866666665,79,True,79,False
union_adaptive_first_1400,switch_5sku_001,switch_5sku,43.71448306666667,54,True,54,False
union_adaptive_first_1400,switch_5sku_002,switch_5sku,70.5258252,80,True,80,False
union_adaptive_first_1400,switch_5sku_003,switch_5sku,60.199098400000004,72,True,72,False
union_adaptive_first_1400,switch_5sku_004,switch_5sku,61.01115546666667,73,True,73,False
union_adaptive_first_1400,switch_5sku_005,switch_5sku,69.63549613333332,81,True,81,False
union_adaptive_first_1450,continuous_iid_000,continuous_iid,59.429050399999994,75,True,75,False
union_adaptive_first_1450,continuous_iid_001,continuous_iid,62.409870333333366,85,True,85,False
union_adaptive_first_1450,continuous_iid_002,continuous_iid,62.1127852,78,True,78,False
union_adaptive_first_1450,continuous_iid_003,continuous_iid,69.14828786666668,85,True,85,False
union_adaptive_first_1450,continuous_iid_004,continuous_iid,60.70156886666667,82,True,82,False
union_adaptive_first_1450,continuous_iid_005,continuous_iid,63.56393220000001,79,True,79,False
union_adaptive_first_1450,continuous_iid_006,continuous_iid,71.33124613333337,88,True,88,False
union_adaptive_first_1450,continuous_iid_007,continuous_iid,68.77664506666663,86,True,86,False
union_adaptive_first_1450,continuous_iid_008,continuous_iid,67.091495,85,True,85,False
union_adaptive_first_1450,continuous_iid_009,continuous_iid,67.1315576,89,True,89,False
union_adaptive_first_1450,continuous_iid_010,continuous_iid,68.28726993333332,85,True,85,False
union_adaptive_first_1450,continuous_iid_011,continuous_iid,70.66078506666669,89,True,89,False
union_adaptive_first_1450,continuous_iid_012,continuous_iid,61.037937399999976,81,True,81,False
union_adaptive_first_1450,continuous_iid_013,continuous_iid,67.60326666666668,87,True,87,False
union_adaptive_first_1450,continuous_iid_014,continuous_iid,63.423876199999974,80,True,80,False
union_adaptive_first_1450,continuous_iid_015,continuous_iid,60.83786566666664,77,True,77,False
union_adaptive_first_1450,continuous_iid_016,continuous_iid,69.59645386666666,86,True,86,False
union_adaptive_first_1450,continuous_iid_017,continuous_iid,69.13153186666668,90,True,90,False
union_adaptive_first_1450,continuous_iid_018,continuous_iid,62.52710526666666,81,True,81,False
union_adaptive_first_1450,continuous_iid_019,continuous_iid,66.23094859999999,82,True,82,False
union_adaptive_first_1450,continuous_iid_020,continuous_iid,72.24109246666664,89,True,89,False
union_adaptive_first_1450,continuous_iid_021,continuous_iid,65.19115219999999,86,True,86,False
union_adaptive_first_1450,continuous_iid_022,continuous_iid,61.54661733333333,80,True,80,False
union_adaptive_first_1450,continuous_iid_023,continuous_iid,67.04821986666668,86,True,86,False
union_adaptive_first_1450,continuous_iid_024,continuous_iid,66.98252786666667,88,True,88,False
union_adaptive_first_1450,continuous_iid_025,continuous_iid,69.81281046666668,91,True,91,False
union_adaptive_first_1450,continuous_iid_026,continuous_iid,67.01867513333333,89,True,89,False
union_adaptive_first_1450,continuous_iid_027,continuous_iid,70.06133020000004,91,True,91,False
union_adaptive_first_1450,continuous_iid_028,continuous_iid,63.915942933333326,79,True,79,False
union_adaptive_first_1450,continuous_iid_029,continuous_iid,62.70127406666666,83,True,83,False
union_adaptive_first_1450,continuous_iid_030,continuous_iid,67.11810606666667,84,True,84,False
union_adaptive_first_1450,continuous_iid_031,continuous_iid,61.44824660000001,75,True,75,False
union_adaptive_first_1450,continuous_iid_032,continuous_iid,63.96213386666665,84,True,84,False
union_adaptive_first_1450,continuous_iid_033,continuous_iid,67.13843306666665,90,True,90,False
union_adaptive_first_1450,continuous_iid_034,continuous_iid,68.50375046666666,86,True,86,False
union_adaptive_first_1450,continuous_iid_035,continuous_iid,64.70497080000001,79,True,79,False
union_adaptive_first_1450,continuous_iid_036,continuous_iid,71.0102882,89,True,89,False
union_adaptive_first_1450,continuous_iid_037,continuous_iid,71.37329100000001,91,True,91,False
union_adaptive_first_1450,continuous_iid_038,continuous_iid,69.02662646666668,90,True,90,False
union_adaptive_first_1450,continuous_iid_039,continuous_iid,71.98208613333334,85,True,85,False
union_adaptive_first_1450,continuous_iid_040,continuous_iid,64.32961399999998,85,True,85,False
union_adaptive_first_1450,continuous_iid_041,continuous_iid,72.15323366666664,91,True,91,False
union_adaptive_first_1450,continuous_iid_042,continuous_iid,70.61596699999997,89,True,89,False
union_adaptive_first_1450,continuous_iid_043,continuous_iid,57.64698260000001,77,True,77,False
union_adaptive_first_1450,continuous_iid_044,continuous_iid,67.59167000000001,91,True,91,False
union_adaptive_first_1450,continuous_iid_045,continuous_iid,65.30260793333335,75,True,75,False
union_adaptive_first_1450,continuous_iid_046,continuous_iid,72.130435,90,True,90,False
union_adaptive_first_1450,continuous_iid_047,continuous_iid,61.818101733333314,80,True,80,False
union_adaptive_first_1450,continuous_iid_048,continuous_iid,56.17146286666667,71,True,71,False
union_adaptive_first_1450,continuous_iid_049,continuous_iid,68.4083401333333,89,True,89,False
union_adaptive_first_1450,edge_geometry_000,edge_geometry,61.98901166666665,82,True,82,False
union_adaptive_first_1450,edge_geometry_001,edge_geometry,50.312987933333325,66,True,66,False
union_adaptive_first_1450,edge_geometry_002,edge_geometry,58.180786066666684,75,True,75,False
union_adaptive_first_1450,edge_geometry_003,edge_geometry,56.77737100000002,69,True,69,False
union_adaptive_first_1450,edge_geometry_004,edge_geometry,57.55607440000002,67,True,67,False
union_adaptive_first_1450,edge_geometry_005,edge_geometry,60.07083813333333,80,True,80,False
union_adaptive_first_1450,edge_geometry_006,edge_geometry,63.93864233333332,85,True,85,False
union_adaptive_first_1450,edge_geometry_007,edge_geometry,64.52901659999998,81,True,81,False
union_adaptive_first_1450,edge_geometry_008,edge_geometry,69.35546466666665,87,True,87,False
union_adaptive_first_1450,edge_geometry_009,edge_geometry,68.27421773333334,85,True,85,False
union_adaptive_first_1450,large_heavy_000,large_heavy,65.33203186666667,50,True,50,False
union_adaptive_first_1450,large_heavy_001,large_heavy,66.45581733333333,51,True,51,False
union_adaptive_first_1450,large_heavy_002,large_heavy,53.37359546666667,41,True,41,False
union_adaptive_first_1450,large_heavy_003,large_heavy,73.45586226666667,57,True,57,False
union_adaptive_first_1450,large_heavy_004,large_heavy,71.30757073333335,54,True,54,False
union_adaptive_first_1450,large_heavy_005,large_heavy,73.12199140000001,57,True,57,False
union_adaptive_first_1450,small_dense_000,small_dense,56.411636533333365,130,False,,True
union_adaptive_first_1450,small_dense_001,small_dense,54.856386866666675,130,False,,True
union_adaptive_first_1450,small_dense_002,small_dense,54.14214953333334,130,False,,True
union_adaptive_first_1450,small_dense_003,small_dense,56.07141013333333,130,False,,True
union_adaptive_first_1450,small_dense_004,small_dense,56.49919193333329,130,False,,True
union_adaptive_first_1450,small_dense_005,small_dense,54.06237533333333,130,False,,True
union_adaptive_first_1450,switch_5sku_000,switch_5sku,68.54314866666665,79,True,79,False
union_adaptive_first_1450,switch_5sku_001,switch_5sku,43.71448306666667,54,True,54,False
union_adaptive_first_1450,switch_5sku_002,switch_5sku,63.23051346666666,72,True,72,False
union_adaptive_first_1450,switch_5sku_003,switch_5sku,67.222976,77,True,77,False
union_adaptive_first_1450,switch_5sku_004,switch_5sku,61.01115546666667,73,True,73,False
union_adaptive_first_1450,switch_5sku_005,switch_5sku,69.63549613333332,81,True,81,False
union_adaptive_first_best,continuous_iid_000,continuous_iid,59.429050399999994,75,True,75,False
union_adaptive_first_best,continuous_iid_001,continuous_iid,61.69940233333336,84,True,84,False
union_adaptive_first_best,continuous_iid_002,continuous_iid,63.9118664,81,True,81,False
union_adaptive_first_best,continuous_iid_003,continuous_iid,65.93874966666667,81,True,81,False
union_adaptive_first_best,continuous_iid_004,continuous_iid,68.34881553333334,93,True,93,False
union_adaptive_first_best,continuous_iid_005,continuous_iid,69.53595560000001,88,True,88,False
union_adaptive_first_best,continuous_iid_006,continuous_iid,71.33124613333337,88,True,88,False
union_adaptive_first_best,continuous_iid_007,continuous_iid,62.63291246666663,78,True,78,False
union_adaptive_first_best,continuous_iid_008,continuous_iid,67.091495,85,True,85,False
union_adaptive_first_best,continuous_iid_009,continuous_iid,64.15129119999999,85,True,85,False
union_adaptive_first_best,continuous_iid_010,continuous_iid,64.10263533333331,80,True,80,False
union_adaptive_first_best,continuous_iid_011,continuous_iid,55.530107466666685,72,True,72,False
union_adaptive_first_best,continuous_iid_012,continuous_iid,69.31566786666666,93,True,93,False
union_adaptive_first_best,continuous_iid_013,continuous_iid,66.62793846666668,86,True,86,False
union_adaptive_first_best,continuous_iid_014,continuous_iid,67.5089281333333,85,True,85,False
union_adaptive_first_best,continuous_iid_015,continuous_iid,62.654981666666636,79,True,79,False
union_adaptive_first_best,continuous_iid_016,continuous_iid,64.20739199999998,80,True,80,False
union_adaptive_first_best,continuous_iid_017,continuous_iid,70.61666,92,True,92,False
union_adaptive_first_best,continuous_iid_018,continuous_iid,67.89618446666665,87,True,87,False
union_adaptive_first_best,continuous_iid_019,continuous_iid,68.80504426666668,85,True,85,False
union_adaptive_first_best,continuous_iid_020,continuous_iid,68.58520726666664,85,True,85,False
union_adaptive_first_best,continuous_iid_021,continuous_iid,63.45340726666666,84,True,84,False
union_adaptive_first_best,continuous_iid_022,continuous_iid,61.54661733333333,80,True,80,False
union_adaptive_first_best,continuous_iid_023,continuous_iid,56.582738199999994,72,True,72,False
union_adaptive_first_best,continuous_iid_024,continuous_iid,56.0033674,74,True,74,False
union_adaptive_first_best,continuous_iid_025,continuous_iid,67.93736386666667,89,True,89,False
union_adaptive_first_best,continuous_iid_026,continuous_iid,68.36893306666667,91,True,91,False
union_adaptive_first_best,continuous_iid_027,continuous_iid,66.49282913333336,86,True,86,False
union_adaptive_first_best,continuous_iid_028,continuous_iid,67.37122766666667,83,True,83,False
union_adaptive_first_best,continuous_iid_029,continuous_iid,62.70127406666666,83,True,83,False
union_adaptive_first_best,continuous_iid_030,continuous_iid,65.83007886666668,83,True,83,False
union_adaptive_first_best,continuous_iid_031,continuous_iid,64.66458086666668,79,True,79,False
union_adaptive_first_best,continuous_iid_032,continuous_iid,61.610172266666645,81,True,81,False
union_adaptive_first_best,continuous_iid_033,continuous_iid,67.13843306666665,90,True,90,False
union_adaptive_first_best,continuous_iid_034,continuous_iid,68.50375046666666,86,True,86,False
union_adaptive_first_best,continuous_iid_035,continuous_iid,63.382158000000004,77,True,77,False
union_adaptive_first_best,continuous_iid_036,continuous_iid,67.66521873333333,85,True,85,False
union_adaptive_first_best,continuous_iid_037,continuous_iid,69.78086240000002,89,True,89,False
union_adaptive_first_best,continuous_iid_038,continuous_iid,62.93693046666669,83,True,83,False
union_adaptive_first_best,continuous_iid_039,continuous_iid,73.25763600000002,87,True,87,False
union_adaptive_first_best,continuous_iid_040,continuous_iid,66.57833973333331,88,True,88,False
union_adaptive_first_best,continuous_iid_041,continuous_iid,65.85780106666665,82,True,82,False
union_adaptive_first_best,continuous_iid_042,continuous_iid,64.20465459999998,81,True,81,False
union_adaptive_first_best,continuous_iid_043,continuous_iid,63.044643,84,True,84,False
union_adaptive_first_best,continuous_iid_044,continuous_iid,62.49921940000002,83,True,83,False
union_adaptive_first_best,continuous_iid_045,continuous_iid,64.03788393333335,74,True,74,False
union_adaptive_first_best,continuous_iid_046,continuous_iid,66.66832040000001,84,True,84,False
union_adaptive_first_best,continuous_iid_047,continuous_iid,68.6264286,89,True,89,False
union_adaptive_first_best,continuous_iid_048,continuous_iid,62.94145253333335,78,True,78,False
union_adaptive_first_best,continuous_iid_049,continuous_iid,70.94284386666664,92,True,92,False
union_adaptive_first_best,edge_geometry_000,edge_geometry,61.98901166666665,82,True,82,False
union_adaptive_first_best,edge_geometry_001,edge_geometry,50.312987933333325,66,True,66,False
union_adaptive_first_best,edge_geometry_002,edge_geometry,63.934823266666676,80,True,80,False
union_adaptive_first_best,edge_geometry_003,edge_geometry,55.09237300000001,68,True,68,False
union_adaptive_first_best,edge_geometry_004,edge_geometry,69.4045114666667,82,True,82,False
union_adaptive_first_best,edge_geometry_005,edge_geometry,67.7897804,93,True,93,False
union_adaptive_first_best,edge_geometry_006,edge_geometry,63.93864233333332,85,True,85,False
union_adaptive_first_best,edge_geometry_007,edge_geometry,68.52363886666664,86,True,86,False
union_adaptive_first_best,edge_geometry_008,edge_geometry,52.546017733333315,68,True,68,False
union_adaptive_first_best,edge_geometry_009,edge_geometry,66.37964480000001,83,True,83,False
union_adaptive_first_best,large_heavy_000,large_heavy,55.043352466666676,42,True,42,False
union_adaptive_first_best,large_heavy_001,large_heavy,67.82911233333333,52,True,52,False
union_adaptive_first_best,large_heavy_002,large_heavy,75.45103799999998,58,True,58,False
union_adaptive_first_best,large_heavy_003,large_heavy,77.26568786666668,60,True,60,False
union_adaptive_first_best,large_heavy_004,large_heavy,65.93097973333336,50,True,50,False
union_adaptive_first_best,large_heavy_005,large_heavy,73.12199140000001,57,True,57,False
